DIA,MES,ANO,ESC,MC/SEG,MC/SEC
16.0,JUL,1977,0.24,3.61,
1.0,AGO,1977,0.25,3.93,
13.0,SET,1977,0.32,4.81,
8.0,OCT,1977,0.44,7.59,
11.0,NOV,1977,0.49,8.99,
31.0,DIC,1977,0.3,5.1,
31.0,ENE,1978,0.22,3.23,
22.0,FEB,1978,0.2,2.9,
27.0,MAR,1978,0.17,2.37,
28.0,ABR,1978,0.13,1.62,
16.0,MAY,1978,0.15,2.01,
29.0,JUN,1978,0.33,5.84,
1.0,JUL,1978,0.4,7.71,
22.0,AG0,1979,0.44,7.6,
2.0,SET,1978,0.67,17.1,
10.0,0CT,1979,0.59,12.2,
30.0,N0V,1979,0.4,6.58,
8.0,C0C,1979,0.36,5.66,
31.0,ENE,1979,0.21,3.38,
28.0,FEB,1979,0.17,2.34,
24.0,MAR,1979,0.14,1.84,
1.0,ABR,1979,0.15,1.95,
24.0,T0T,1979,0.14,1.84,
29.0,MAY,,0.46,,9.6
29.0,JUN,,0.42,,7.1
30.0,JUL,,0.4,,6.58
16.0,AG0,,0.35,,5.44
17.0,SET,,0.81,,21.4
13.0,0CT,,0.57,,11.5
28.0,N0V,,0.52,,9.89
29.0,DIC,,0.34,,5.12
31.0,ENE,,0.26,,3.63
29.0,FEB,,0.24,,3.31
28.0,MAR,,0.19,,2.62
30.0,ABR,,0.16,,2.22
30.0,T0T,,0.16,,2.22
7.0,MAY,1980,0.15,1.72,
30.0,JUN,1980,0.43,8.67,
18.0,JUL,1980,0.34,5.97,
27.0,AG0,1981,0.6,14.5,
7.0,SET,1980,0.66,16.6,
30.0,0CT,1981,0.63,13.7,
30.0,N0V,1981,0.59,12.2,
31.0,DIC,1980,0.46,8.14,
31.0,ENE,1981,0.34,5.19,
23.0,FEB,1981,0.27,3.68,
31.0,MAR,1981,0.22,2.85,
30.0,ABR,1981,0.17,2.03,
7.0,T0T,1981,0.15,1.72,
1.0,MAY,1981,0.24,3.34,
24.0,JUN,1981,0.71,16.8,
31.0,JUL,1981,0.44,8.98,
6.0,AGO,1981,43.0,8.67,
22.0,SET,1981,0.68,17.7,
2.0,OCT,1981,0.7,18.5,
30.0,NOV,1981,0.48,10.3,
30.0,DIC,1981,0.36,6.54,
31.0,ENE,1982,0.25,3.84,
24.0,FEB,1982,0.17,2.35,
3.1,MAR,1982,0.12,1.54,
28.0,ABR,1982,0.1,1.27,
28.0,TOT,1982,0.1,1.27,
13.0,MAY,1982,0.12,2.15,
7.0,JUN,1982,0.49,10.6,
19.0,JUL,1982,0.42,8.45,
31.0,AGO,1982,0.39,6.34,
8.0,SET,1982,0.34,5.25,
24.0,OCT,1982,0.66,14.8,
30.0,NOV,1982,0.4,6.58,
31.0,OCT,1982,0.31,4.65,
3.0,ENE,1983,0.29,4.14,
24.0,FEB,1983,0.23,2.98,
31.0,MAR,1983,0.2,2.49,
29.0,ABR,1983,0.15,1.72,
29.0,TOT,1983,0.15,1.72,
14.0,MAY,1983,0.17,1.51,
30.0,JUN,1983,0.33,3.74,
9.0,JUL,1983,0.33,3.74,
19.0,AGO,1983,0.38,6.1,
21.0,SET,1983,0.6,11.2,
6.0,OCT,1983,0.8,20.6,
27.0,NOV,1983,0.46,6.66,
31.0,OCT,1983,0.42,5.66,
31.0,ENE,1984,0.33,2.75,
25.0,FEB,1984,0.27,2.84,
28.0,MAR,1984,0.24,2.26,
29.0,ABR,1984,0.2,1.87,
14.0,TOT,1984,0.17,1.51,
14.0,MAY,1984,0.15,1.69,
9.0,JUN,1984,0.44,4.86*,
18.0,JUL,1984,0.55,10.7,
22.0,AGO,1984,0.3,4.26,
30.0,SET,1984,0.7,16.4,
14.0,OCT,1984,0.65,9.22,
30.0,NOV,1984,0.42,7.08,
31.0,DIC,1984,0.31,4.44,
31.0,ENE,1985,0.25,3.27,
28.0,FEB,1985,0.19,2.41,
30.0,MAR,1985,0.14,1.55,
25.0,ABR,1985,0.13,1.44,
25.0,TOT,1985,0.13,1.44,
7.0,MAY,1985,0.13,1.44*,
1.0,JUN,1985,0.16,1.87,
15.0,JUL,1985,0.3,4.34*,
19.0,AGO,1985,0.44,7.6,
19.0,SET,1985,0.61,12.9,
23.0,OCT,1985,0.53,10.3,
28.0,NOV,1985,0.45,7.86,
31.0,DIC,1985,0.3,4.24,
27.0,ENE,1986,0.26,3.55,
28.0,FEB,1986,0.21,2.66,
21.0,MAR,1986,0.19,2.3,
30.0,ABR,1986,0.18,2.17,
7.0,TOT,1986,0.13,1.44,
11.0,MAY,1986,0.18,2.17,
17.0,JUN,1986,0.46,6.68,
31.0,JUL,1986,0.37,4.64,
10.0,AGO,1986,0.36,4.23,
20.0,SET,1986,0.39,5.1,
30.0,OCT,1986,0.51,9.69,
26.0,NOV,1986,0.43,7.21,
31.0,DIC,1986,0.25,3.36,
21.0,ENE,1987,0.2,2.49,
29.0,FEB,1987,0.19,2.33,
31.0,MAR,1987,0.12,1.31,
30.0,ABR,1987,0.11,1.19,
30.0,TOT,1987,0.11,1.19,
14.0,MAYO,1988,0.11,1.19,
3.0,JUN,1987,0.18,2.21,
1.0,JUL,1987,0.25,3.47,
30.0,AGO,1987,0.37,5.99,
2.0,SET,1987,0.36,5.64,
31.0,OCTU,1988,0.41,8.93,
20.0,NOV,1987,0.24,4.88,
31.0,DIC,1987,0.16,3.36,
26.0,ENE,1988,0.1,2.5,
29.0,FEB,1988,0.1,2.5,
31.0,MAR,1988,0.05,1.75,
27.0,ABR,1988,0.04,1.48,
14.0,TOT,1988,0.11,1.19,
